link,depth,story_tags_list,cover_img,title,Lượt đọc,Lượt bình chọn,Chương,recommended_stories,badges,Thời gian
https://www.wattpad.com/story/51678600-vampire-v%C3%A0-ng%C6%B0%E1%BB%9Di-s%C3%B3i-12-ch%C3%B2m-sao-full,0,"['12chomsao', '12cs', '12cunghoàngđạo', 'bíẩn', 'dịnăng', 'fanfic', 'fanfiction']",https://img.wattpad.com/cover/51678600-512-k932767.jpg,Vampire và người sói (12 chòm sao)[full],"Lượt đọc 69,435","Lượt bình chọn 3,352",Chương 32,"['https://www.wattpad.com/story/346158888-h%E1%BB%8Dc-vi%E1%BB%87n-vampire-zerobaseone', 'https://www.wattpad.com/story/114658360-%C3%B4ng-x%C3%A3-%7E-anh-l%C3%A0-ma-c%C3%A0-r%E1%BB%93ng', 'https://www.wattpad.com/story/308966578-the-chaos-chapter-blood_-sunsun-ho%C3%A0n', 'https://www.wattpad.com/story/136893554-truy%E1%BB%87n-tranh-v%E1%BA%BFt-c%E1%BA%AFn-ng%E1%BB%8Dt-ng%C3%A0o-2', 'https://www.wattpad.com/story/346907633-taegyu-t%C3%ACnh-hay-m%C3%A1u', 'https://www.wattpad.com/story/356981504-wanderer-x-reader-m%C3%A1u', 'https://www.wattpad.com/story/358369619-on-going-%C4%91m-kh%E1%BA%BF-%C6%B0%E1%BB%9Bc-v%E1%BB%9Bi-huy%E1%BA%BFt-t%E1%BB%99c-kh%C3%B4ng-%C4%91i%E1%BB%83n-h%C3%ACnh', 'https://www.wattpad.com/story/346503136-%E3%80%90%F0%9D%97%9B%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%9E%F0%9D%97%AE%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%B5%E3%80%91%E2%80%A2-%F0%9D%90%88%F0%9D%90%A5%F0%9D%90%A5%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B2-%F0%9D%90%83%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%A6-%F0%9D%90%88%F0%9D%90%A7-%F0%9D%90%93%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%80%F0%9D%90%9B%F0%9D%90%B2%F0%9D%90%AC%F0%9D%90%AC', 'https://www.wattpad.com/story/358040246-geminifourth-c%E1%BA%AFn-l%C3%AAn-%C4%91%E1%BA%A7u-ng%C3%B3n-tay-anh', 'https://www.wattpad.com/story/303617064-nam-l%C3%A2n-c%E1%BA%A9m-l%C3%BD']",,
https://www.wattpad.com/story/128268448-n%E1%BB%AF-ng%E1%BB%97-t%C3%A1c-h%E1%BB%8Da-c%E1%BB%91t,0,"['bíẩn', 'cungđấu', 'dieutra', 'thriller', 'trinhthám', 'xuyênkhông']",https://img.wattpad.com/cover/128268448-512-k375252.jpg,Nữ Ngỗ Tác Họa Cốt,"Lượt đọc 3,528,810","Lượt bình chọn 128,418",Chương 160,"['https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95']",['Đang sáng tác'],
https://www.wattpad.com/story/68364418-cryptic-c%C3%A2u-%C4%91%E1%BB%91-cryptic-ft-%C4%91%C3%A1p-%C3%A1n,0,"['bíẩn', 'cryptic', 'fbi']",https://img.wattpad.com/cover/68364418-512-k143772.jpg,CRYPTIC ( Câu đố Cryptic Ft. Đáp án),"Lượt đọc 87,249","Lượt bình chọn 2,780",Chương 13,"['https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n']",['Đang sáng tác'],
https://www.wattpad.com/story/89250906-em-s%E1%BA%BD-l%C3%A0-n%E1%BA%A1n-nh%C3%A2n-c%E1%BB%A7a-anh,0,"['blood', 'bíẩn', 'horror', 'killer', 'kinhdi', 'love', 'murderer', 'mystery', 'máu', 'thithe', 'thriller', 'tragedy', 'yeu']",https://img.wattpad.com/cover/89250906-512-k225790.jpg,Em sẽ là nạn nhân của anh,"Lượt đọc 34,786","Lượt bình chọn 2,049",Chương 17,"['https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95']",['Hoàn thành'],
https://www.wattpad.com/story/182991023-l%E1%BB%9Bp-h%E1%BB%8Dc-r%C3%B9ng-r%E1%BB%A3n,0,"['bíẩn', 'edit', 'hiệnđại', 'hồihộp', 'khoahọcviễntưởng', 'kinhdi', 'lykỳ', 'pháán', 'vườntrường']",https://img.wattpad.com/cover/182991023-256-k816325.jpg,LỚP HỌC RÙNG RỢN,"Lượt đọc 25,705","Lượt bình chọn 1,068",,"['https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center']",['Đang sáng tác'],
https://www.wattpad.com/story/94601104-edit-ho%C3%A0n-t%C3%A0m-th%E1%BB%B1c-ti%E1%BB%83u-y%C3%AAu-t%E1%BB%AD,0,"['biếnthái', 'bl', 'boylove', 'bíẩn', 'bệnhkiềucông', 'hiệnđại', 'huyềnnghi', 'hắcám', 'kinhdi', 'kuroneko3026', 'nguoc', 'r18', 'tiểu-thuyết-thiếu-niên', 'tiểuyêutử', 'trọngkhẩuvị', 'vặnvẹo', 'đammỹ', 'đoản']",https://img.wattpad.com/cover/94601104-512-k359145.jpg,[EDIT/ HOÀN] TÀM THỰC - TIỂU YÊU TỬ.,"Lượt đọc 235,033","Lượt bình chọn 18,818",Chương 42,"['https://www.wattpad.com/story/262936500-edit-b%E1%BB%8B-nh%C3%B3c-%C4%91%C3%A1ng-th%C6%B0%C6%A1ng-m%E1%BB%99t-tay-nu%C3%B4i-l%E1%BB%9Bn-%C4%91%C3%A8-r%E1%BB%93i', 'https://www.wattpad.com/story/334658580-full-%C4%91%C3%A1-chanh-tuy%E1%BA%BFt', 'https://www.wattpad.com/story/350328108-gi%E1%BA%A3-%C4%91%E1%BB%A9ng-%C4%91%E1%BA%AFn', 'https://www.wattpad.com/story/238854303-full-bad-boy-y%C3%AAu-nh%E1%BA%A7m-bad-girl', 'https://www.wattpad.com/story/350829847-vi%E1%BB%87t-qu%E1%BA%A5t-%C4%91%C3%A1-xay', 'https://www.wattpad.com/story/348878702-edit-ho%C3%A0n-sau-khi-xem-m%E1%BA%AFt-c%C3%B9ng-nam-th%E1%BA%A7n-e-sport', 'https://www.wattpad.com/story/360920199-c%C3%A1-tr%C3%AAn-tr%E1%BB%9Di', 'https://www.wattpad.com/story/353744282-si-m%C3%AA-em', 'https://www.wattpad.com/story/335713505-%C4%91m-ho%C3%A0n-b%C3%A1c-s%C4%A9-giang-mang-thai-con-c%E1%BB%A7a-%C4%91%E1%BB%91i-th%E1%BB%A7', 'https://www.wattpad.com/story/343187943-edit-%C4%91m-h%E1%BB%8Dc-ngoan']","['Hoàn thành', 'Trưởng thành']",
https://www.wattpad.com/story/318923628-t%E1%BA%ADp-truy%E1%BB%87n-t%C3%A2m-l%C3%BD-ng%E1%BA%AFn-eve-nguyn,0,"['antihero', 'bíẩn', 'cuocdoi', 'doisong', 'giảtưởng', 'hưcấu', 'kinhdi', 'ngontinh', 'psychology', 'tanvan', 'tinhcam', 'truyenngan', 'tâmlý', 'tâmlýhọc', 'viễntưởng']",https://img.wattpad.com/cover/318923628-512-k72782.jpg,Tập Truyện Tâm Lý Ngắn - Eve nguyn,Lượt đọc 169,Lượt bình chọn 8,Chương 7,"['https://www.wattpad.com/story/347428673-%C4%91am-m%E1%BB%B9-edit-d%E1%BB%B1a-v%C3%A0o-t%E1%BB%8F-t%C3%ACnh-th%C3%B4ng-quan-tr%C3%B2-ch%C6%A1i', 'https://www.wattpad.com/story/197434317-h%E1%BB%8Da-ph%E1%BB%91', 'https://www.wattpad.com/story/246468746-k%C3%ADnh-v%E1%BA%A1n-hoa-ch%E1%BA%BFt-ch%C3%B3c', 'https://www.wattpad.com/story/276672865-taekook-%F0%9F%86%98-g%C3%A0o-th%C3%A9t-v%C3%B4-v%E1%BB%8Dng-l%E1%BB%9Di-nguy%E1%BB%81n-kim-t%E1%BB%B1-th%C3%A1p', 'https://www.wattpad.com/story/239528231-h%E1%BB%8Da-ph%E1%BB%91-02', 'https://www.wattpad.com/story/321538266-2%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/341643511-y%C3%AAu-phu-th%C3%BA-th%C3%A2n-b%C3%A1ch-v%C3%B4-c%E1%BA%A5m-k%E1%BB%B5-kh%C3%A1t-v%C5%A9', 'https://www.wattpad.com/story/333825566-edit-k%C3%ADnh-v%E1%BA%A1n-hoa-ch%E1%BA%BFt-ch%C3%B3c', 'https://www.wattpad.com/story/350059043-t%C3%B4i-l%E1%BA%A1i-%C4%91%C3%A1nh-s%E1%BA%ADp-c%C3%A2u-chuy%E1%BB%87n-kinh-d%E1%BB%8B-trong-tr%C6%B0%E1%BB%9Dng', 'https://www.wattpad.com/story/280441203-bh-thu%E1%BA%A7n-vi%E1%BB%87t-_-t%C3%A2m-l%E1%BA%A1nh']",['Đang sáng tác'],
https://www.wattpad.com/story/347361260-anh-trai-18%2B,0,"['bienthaibenhhoan', 'bíẩn', 'dahoan', 'full', 'hoàn', 'kinhdi', 'nhạycảm', 'quayxe', 'ámảnh']",https://img.wattpad.com/cover/347361260-512-k58317.jpg,Anh Trai (18+),"Lượt đọc 11,431",Lượt bình chọn 354,Chương 5,"['https://www.wattpad.com/story/20918541-%C4%91am-m%E1%BB%B9-%C3%A1m-v%C3%B4-d%E1%BA%A1-online-nguy%E1%BB%87t-quang-v%E1%BA%ADt-ng%E1%BB%AF', 'https://www.wattpad.com/story/174807445-%C4%91m-t%E1%BB%99i-nh%C3%A2n-d%E1%BA%ADt-danh', 'https://www.wattpad.com/story/254579814-take-my-broken-soul', 'https://www.wattpad.com/story/180472347-ba-l%E1%BA%A7n-g%E1%BA%B7p-g%E1%BB%A1-b%C3%A1c-s%C4%A9-t%C3%B4i-kh%C3%B4ng-cho%C3%A1ng-nh%E1%BA%A5t-c%E1%BB%91-t%E1%BB%AD', 'https://www.wattpad.com/story/200957339-%C4%91am-m%E1%BB%B9-ho%C3%A0n-t%C3%B4i-%C4%91%E1%BA%BFn-m%C6%B0%E1%BB%A3n-c%C3%A1i-b%E1%BA%ADt-l%E1%BB%ADa-vu-tri%E1%BA%BFt', 'https://www.wattpad.com/story/155689101-bh-edit-ho%C3%A0n-ch%E1%BB%A7-t%E1%BB%8Bch-%C4%91ang-vi%E1%BA%BFt-ch%E1%BB%AF-b%C3%ACnh-qu%E1%BA%A3-nh%E1%BA%A5t', 'https://www.wattpad.com/story/241223592-the-alphas-secret-mate', 'https://www.wattpad.com/story/149222153-edit-ho%C3%A0n-l%E1%BB%9Di-tuy%C3%AAn-ng%C3%B4n-c%E1%BB%A7a-trung-khuy%E1%BB%83n-ho%E1%BA%A1n', 'https://www.wattpad.com/story/138346194-better-than-this']","['Hoàn thành', 'Trưởng thành']",
https://www.wattpad.com/story/318587937-%C4%91%E1%BB%ABng-r%E1%BB%9Di-xa-anh,0,"['bíẩn', 'dark', 'horror', 'love', 'mystery', 'psychological', 'thriller', 'tâmlý', 'yandere', 'điên']",https://img.wattpad.com/cover/318587937-512-k314232.jpg,Đừng Rời Xa Anh,"Lượt đọc 10,857",Lượt bình chọn 691,Chương 34,"['https://www.wattpad.com/story/309985442-trong-show-t%E1%BB%91ng-ngh%E1%BB%87-kinh-d%E1%BB%8B-debut-v%E1%BB%8B-tr%C3%AD-center', 'https://www.wattpad.com/story/247068937-1%EF%B8%8F%E2%83%A3-%C4%91m-edit-t%C3%B4i-phong-th%E1%BA%A7n-trong-tr%C3%B2-ch%C6%A1i-v%C3%B4-h%E1%BA%A1n', 'https://www.wattpad.com/story/247350087-thi%C3%AAn-quan-t%E1%BB%A9-ph%C3%BAc', 'https://www.wattpad.com/story/354344438-allbin-xuy%C3%AAn-kh%C3%B4ng-tr%E1%BB%9F-th%C3%A0nh-ph%C3%A1p-s%C6%B0', 'https://www.wattpad.com/story/324735196-l%C3%B2ng-ng%C6%B0%E1%BB%9Di-nh%C6%B0-r%E1%BA%AFn-nam-hoan-n%E1%BB%AF-%C3%A1i-sau-l%C6%B0ng-c%E1%BB%95', 'https://www.wattpad.com/story/353970676-gi%E1%BA%A3-o-s%E1%BA%BD-b%E1%BB%8B-c%E1%BA%AFn-on2eus', 'https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris', 'https://www.wattpad.com/story/357126482-allreo-c%E1%BB%95-t%C3%ADch-c%E1%BB%A7a-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn', 'https://www.wattpad.com/story/358583971-bhtt-edit-ho%C3%A0n-thao-t%C3%BAng-tim-t%C3%B4i-c%C3%B3-h', 'https://www.wattpad.com/story/354525797-full-l%E1%BB%9Di-gi%E1%BA%A3i-t-c%E1%BB%ADu-th%E1%BA%ADp-h%E1%BA%A1']",['Đang sáng tác'],
https://www.wattpad.com/story/189549365-full-tododeku-th%E1%BA%A5t-d%E1%BA%A1-tuy%E1%BA%BFt-7-%C4%91%C3%AAm-tuy%E1%BA%BFt-l%E1%BB%9Bn,0,"['bíẩn', 'fanfic', 'linhdị', 'mha', 'midoriyaizuku', 'namxnam', 'tododeku', 'todoizu', 'todorokishouto', 'zero']",https://img.wattpad.com/cover/189549365-512-k437715.jpg,[Full] [TodoDeku] Thất Dạ Tuyết (7 đêm tuyết lớn),"Lượt đọc 8,048","Lượt bình chọn 1,148",Chương 8,"['https://www.wattpad.com/story/358876284-choker-%E2%80%A2-say', 'https://www.wattpad.com/story/333907729-di%E1%BB%87p-l%C3%A2m-anh-x-trang-ph%C3%A1p-the-series', 'https://www.wattpad.com/story/346917883-taekook-abo-t%C3%B4i-ch%E1%BB%89-th%C3%ADch-m%C3%B9i-h%C6%B0%C6%A1ng-c%E1%BB%A7a-c%E1%BA%ADu', 'https://www.wattpad.com/story/312061026-kim-ng%E1%BB%91c-c%E1%BB%A7a-kim-ti%E1%BB%83u-th%C6%B0', 'https://www.wattpad.com/story/359187296-nh%E1%BB%AFng-th%E1%BB%A9-nh%E1%BB%8F-nh%E1%BA%B7t-v%E1%BB%81-em-b%C3%A9-nho-v%C3%A0-ch%E1%BB%8B-g%E1%BA%A5u', 'https://www.wattpad.com/story/356120382-taekook-b%E1%BA%AFt-n%E1%BA%A1t-hay-b%E1%BA%AFt-em', 'https://www.wattpad.com/story/358310731-taekook-abo-xin-%C4%91%E1%BB%ABng-h%C3%B4n-em', 'https://www.wattpad.com/story/359083197-bhtt-futa-l%C3%A3o-c%C3%B4ng-gi%E1%BA%A3-c%E1%BB%A7a-t%C3%B4i-m%E1%BA%A5t-tr%C3%AD-nh%E1%BB%9B-r%E1%BB%93i-h%E1%BB%93', 'https://www.wattpad.com/story/356837469-r%C6%B0%E1%BB%A3u-v%C3%A0-s%E1%BB%AFa', 'https://www.wattpad.com/story/358807599-f6-%C4%91%E1%BB%A5ng-nh%E1%BA%A7m-tr%C3%B9m-tr%C6%B0%E1%BB%9Dng']",['Hoàn thành'],
