ID,Description,depth,story_tags_list,cover_img,title,Lượt đọc,Lượt bình chọn,Chương,recommended_stories,badges,Thời gian
68,"blair has her life planned out, she's got everything sorted, a boyfriend, a great family and friends and her future is planned well. 

hunter doesn't have a clue what he wants to do with his life, he just knows it includes him and his guitar. 

when hunter moves in next to blair, fresh with family issues and drinking problems, he causes a lot of problems in blair's life, but the two become friends quickly, leaving us wondering what will become of their lives now they have each other...


FULL STORY

**FINISHED**
",1,"['badboy', 'book', 'boyfriend']",https://img.wattpad.com/cover/138346194-512-k33802.jpg,better than this,206122.0,4846.0,41.0,"['0401', '0394', '0399', '0395', '0392', '0398', '0396', '0141', '0397', '0393']",,244.0
134,"Tác giả: Sướng Ái
    Tình trạng: Hoàn
    Convert: Phiêu Miểu
    Thể loại: Nguyên sang, Đam mỹ, Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Tu chân , Ngọt sủng , Song khiết , Xuyên sách , Chủ công , Thăng cấp lưu , Xuyên thành vai ác , Nghịch tập , Vả mặt , 1v1.
    
    Văn án:
    
    Sinh viên Diệp Cẩm Phong vì mẫu thân cùng muội muội báo thù nộ sát kế phụ, bị phán tử hình. Vốn cho rằng sau khi chết có thể cùng thân nhân đoàn tụ, lại không nghĩ rằng sau khi chết trực tiếp xuyên qua 
    
    Xuyên qua có thể nhịn, thế nhưng là tại sao phải xuyên qua đến hắn đang xem trong tiểu thuyết, tới một cái ác tục xuyên thư a?
    
    Xuyên thư có thể nhịn, thế nhưng là vì sao không có mặc thành cao phú soái nhân vật nam chính, mà là xuyên thành thị sát thành tính trùm phản diện a?
    
    Ngửa mặt lên trời thở dài, xuyên thành trùm phản diện Diệp Cẩm Phong, trong gió lộn xộn!
",1,"['dammy, codai, tinhcam']",https://img.wattpad.com/cover/216101005-256-k554127.jpg,[Chủ công - Hoàn] Tu tiên chi bá ái ách thê,27640.0,285.0,7.0,"['3265', '3266', '3267', '3268', '3269', '0136', '3270', '3271', '3272', '3273']",['Hoàn thành'],5610.0
136,"Thể loại: Nguyên sang, Đam mỹ, Cận đại , Hiện đại , HE , Tình cảm , Ngọt sủng , Trọng sinh , Làm giàu , Chủ công , Kiếp trước kiếp này , Dưỡng thành , Tiểu bạch , Lôi , Liên Thành 3 sao , 1v1
    
    Liên thành tam tinh VIP kết thúc
    
    Nội dung tóm tắt
    
    Cao chí bác bị bạn tốt hãm hại, bức cho thân bại danh liệt, cả nước truy nã thời điểm. Là cái kia hắn từ tiểu đều không xem trọng, thậm chí là chán ghét hạ ánh chiều tà đi giúp hắn đỉnh tội. Thẳng đến hạ ánh chiều tà kia nhìn như bị gió thổi qua liền đảo người, ở trong tù bị người xâm phạm đến chết thời điểm, hắn mới biết được, hạ ánh chiều tà niên thiếu khi thổ lộ thế nhưng là như thế nùng liệt.
    
    Ở bị người một tấc một tấc đánh gãy gân cốt thời điểm, cao chí bác tưởng, nếu có thể đủ trước nay, hắn nhất định phải hảo hảo đối đãi cái kia nhu nhược thiếu niên, hộ hắn một đời.
    
    Nhưng nào biết, một nhắm mắt lại trợn mắt, thế nhưng trở lại hai tuổi trước. Cao chí bác nhìn tay nhỏ chân nhỏ chính mình, âm thầm hạ quyết tâm, tức phụ nhi chính là bảo, tức phụ nhi chính là thiên, về sau tuyệt đối không thể làm bất luận kẻ nào khi dễ đi. Liền tính là hắn thân cha thân mụ cũng không được! Tức phụ nhi chính là hắn một người, bất quá... Tức phụ nhi muốn từ tiểu dưỡng khởi.
    
    PS: Cho nên, đây là một thiên sủng văn mà thôi ~()/~
    
    Mấu chốt tự: Trọng sinh chi tức phụ nhi dưỡng thành nhớ, ngươi tới ta đi, cao chí bác, hạ ánh chiều tà, sủng văn, dưỡng thành
    P/S: mình đăng để đọc offline thôi, nếu bạn editor gặp thì đừng giận mình nhé. nguồn đây nhé: http://w
",1,"['dammy, codai, tinhcam']",https://img.wattpad.com/cover/155718405-256-k980758.jpg,Trọng sinh chi tức phụ nhi dưỡng thành ký,32440.0,276.0,5.0,"['3275', '3276', '3277', '3278', '3279', '0394', '0134', '3280', '0650', '3281']",['Hoàn thành'],3453.0
147,"Book Two in the I Am Not A Prostitute series.
    
    
    Warning: Mature Audiences Only!! 
    -Strong Sexual Content
    -R-rated language 
    -Adult situation
    
    #1 in Fiction on 1/10/23
    #2 in Romance on 12/29/20
    
    Book Two in the I Am Not A Prostitute series.
    
    ***
    
    Summary:
    
    ""I hope you remember me. I hope you see something that reminds you of me. And I hope you smile and remember the memories we created together. And I hope your throat tightens up, and it finally hits you..."" I felt a tear burning down my cheek
    
    ""You never should have let me go."" 
    
    I slammed the phone down, my breathing was heavy, like someone was standing on my chest.
    
    I glanced outside, and stared at the rain that fell in sync with my tears.
    
    Come back to me, Sinister.
    
    ***
    
    Sinister Velkov was the leader of the Russian Mafia, after falling in love with a beautiful girl named Calla, he couldn't keep himself away. They fell in love, and got married. He thought he could protect her from the dangerous life of  being a mob bosses wife.  But he was wrong, no one is safe from the drugs, guns and death of organized crime. So he sent her away, hoping to keep her safe, promising to never see her again...
    
    Loving someone is a sacrifice, you give them the power to destroy you, and that's exactly what they do.
    
    Sinister Velkov was the Devil himself, but everyone knows...the Devil was once an angel.
    
    
    COMPLETED
",1,"['beautiful', 'billionare', 'cocky']",https://img.wattpad.com/cover/144444527-512-k456434.jpg,Come Back To Me: Mafia Romance (18+ Only),22215090.0,782000.0,66.0,"['3342', '0394', '0397', '3343', '3344', '0100', '3345', '3346', '3347', '3348']",,469.0
175,"-Nơi tổng hợp 7749 thứ về SevenAU, chủ yếu là chuyện nhà các nguyên tố, gồm mấy đoạn phụ thêm và tranh vẽ các thứ:333 Bản mở rộng mấy cái linh tinh của fic chính ""Why Are We Here?"".
    
    -Nếu không ghi chú cụ thể thì đó là ""nhân vật chính"": gia đình Rashied của Timeline 22:
    
    ""Gia đình Rashied có 7 đứa, không nhiều lắm, nhưng đứa nào bước ra ngoài cũng là mối nguy cho xã hội"" =))))
",1,['fanfictio'],https://img.wattpad.com/cover/309004578-512-k20734.jpg,[SevenAU] Sketchbook Scene.,24291.0,1579.0,59.0,"['0176', '0169', '0170', '0171', '0168', '0175', '0172', '0173', '0151', '0174']",['Đang sáng tác'],
248,"Mia Gibson and Hunter James were always meant to be. But dating the star quarterback that was destined to be in the NFL was not easy. Especially when even his parents believed you were ruining his career. 
    With no other option Mia broke up with Hunter, pushing aside her feelings in order for his dreams to come true. 
    Five years pass after their breakup. Hunter's dream came true however Mia's life turned out different than she hoped. 
    But what happened when they cross paths once again years later? Old sparks start to fly but can they rekindle the love they use to have?
    
    New cover done by: @hornsOfARebel 
    Previous COVER DONE BY the amazing @kimberly_white101
",1,"['athlete', 'cliche']",https://img.wattpad.com/cover/218611602-512-k917700.jpg,Second Chances,5454873.0,145193.0,31.0,"['3449', '3450', '3451', '3452', '3453', '3454', '3455', '3456', '3457']",,248.0
317,"Trường THPT XYZ vốn là trường chuyên của thành phố, nơi hội tụ đủ loại con ngoan trò giỏi trên đời.
      Sự xuất hiện của những thành phần cá biệt, lập dị hay quậy phá gần như không có trong môi trường hoàn hảo này.
       Hãy tưởng tượng mà xem, nơi mà học sinh không bao giờ nói tục chửi bậy, luôn xưng cậu tớ, khômg bao giờ than phiền vì bài tập, hay thậm chí thành tích học tập đều tăm tắp? Suy cho cùng chúng cũng chỉ là sự tẩy não trắng trợn, nhằm nhào nặn ra đứa trẻ theo ý muốn của gia đình và xã hội.
      Nói ""gần như"" mà không nói ""tuyệt đối""...có nghĩa là cái thành phần dị biệt kia vẫn còn tồn tại, chỉ là họ sống ẩn dật và không cho ai biết mình ""khác biệt"" mà thôi!
      Và cái nơi để những thành phần bất hảo đó có tên: Hội học sinh!
      Phải, cái nơi mà ai cũng nghĩ sẽ hội tụ của những kẻ thiên tài của thiên tài, hoàn hảo của hoàn hảo lại chính là nơi chứa chấp những con người lập dị của ngôi trường này.
      "" Chúng tôi khác biệt, đơn giản vì chúng tôi không phải bản sao của bất kì ai.""
",1,['12chomsao'],https://img.wattpad.com/cover/265200790-512-k786910.jpg,[12 chòm sao] Hội học sinh-Nơi hội tụ của những kẻ lập dị,86146.0,6571.0,47.0,"['0317', '0530', '0531', '0532', '0493', '0533', '0492', '0534', '0535']",,336.0
455,"Tên gốc: 
    Thể loại: Đam Mỹ, toàn tức võng du, 1×1, lãnh khốc cường công, thông minh xinh đẹp thụ, công sủng thụ, HE.
    Nội dung: Ma pháp, ảo tưởng không gian, kỵ sĩ cùng kiếm tình.
    Dịch: QT
    Xếp chữ: Khuynh Nguyệt (36 chương đầu), Tiểu Hân (còn lại)
    Chỉnh sửa: Tiểu Hân, Ishuca topA
    Số chương: 84
    
    Lost Temple (Thất lạc thần miếu), đại hình não song trong tuyến võng du, nhân vật chính của chúng ta cũng bắt đầu hành trình kì huyễn vào võng du, gặp gỡ thích khách của Thiên Sứ tộc luôn kiệm lời mà trong thế giới hiện thực là thợ săn tiền thưởng hạng nhất? Một đường đi chung, cậu vì y cam tâm rửa tay làm cơm canh, y vì cậu không màng tự chặt cánh đọa thiên, từ khi nào thì hữu tình đã biến thành ái tình? Mà tình yêu trong thế giới hư cấu có khả năng trong thế giới hiện thực không.
",2,['danmy'],https://img.wattpad.com/cover/169708317-256-k415845.jpg,Lost temple (Thất lạc thần miếu),20947.0,1315.0,85.0,,['Hoàn thành'],1087.0
511,"  | If only the clockworks could speak, I wouldn't be so alone. We burn every magnet and spring, and spiral into the unknown.
    
    
                                     doctor who / the doctor
                                           [ cover by me, description inspired by dubrevh ]
                                                  - © 2019
    
                                                                                                                                        ...
",1,['fanficiton'],https://img.wattpad.com/cover/113193393-512-k823240.jpg,Shatter Me ━━ 𝐍𝐈𝐍𝐓𝐇 𝐃𝐎𝐂𝐓𝐎𝐑¹ ✔,136320.0,4526.0,27.0,"['0911', '0912', '0913', '0914', '0915', '0916', '0917', '0918', '0578', '0919']",['Hoàn thành'],298.0
540,"Kino and his friends go on a summer roadtripbut with the relationships around him starting to make from small cracks to bigger ones, will they be able to save everything by the end of the trip?
    
    And for once, will he finally be able to fall in love again?
    _________________________________________
    
    The 3rd installment companion story to 'Maybe Tomorrow' and 'Summer Detour'this time with Kino!
    _________________________________________
    
    To avoid spoilers and confusion, please DO NOT read BEFORE 'Maybe Tomorrow' AND 'Summer Detour'. Thank you.
",1,"['tinhcam, drama']",https://img.wattpad.com/cover/133365044-256-k556001.jpg,All This Time [Book 3] | Pentagon✔,27864.0,2047.0,31.0,"['0262', '0269', '1038', '0290', '1039', '0294', '1040', '0388', '0391', '0289']",['Hoàn thành'],301.0
