ID,Description,depth,story_tags_list,cover_img,title,Lượt đọc,Lượt bình chọn,Chương,recommended_stories,badges,Thời gian
22,"Lăn lộn ngoài xã hội lâu đến vậy, hầu như chuyện gì cũng đã xảy ra, Kim Sunoo thật sự không tha thiết bất cứ điều gì mà chỉ cắm đầu vào hận thù. Lần gặp đầu tiên với Park Sunghoon cũng chỉ là thêm chán ghét. Cậu chính là bị anh lừa, lừa từ quá khứ cho đến hiện tại nhưng cậu nào có biết. Vốn dĩ cậu không nhớ, không ai rõ nhưng Park Sunghoon cả đời cũng không thể quên được.
    "" Anh đến với em lần nữa, không mong muốn nhận được gì từ em. Anh đến để được em trừng phạt..""
    
    .
    
    
    •Tác giả: Hi Vân Nguyệt 
    •Cp: Sunsun
    •Cp phụ: Jaywon, Heejake, Yeongyu 
    •16.4.22-16.7.22
    *note: toàn bộ cốt truyện là giả tưởng mang tính chất hư cấu, không có thật, không liên quan đến cá nhân, tổ chức, tập thể nào.
Bảo Lưu Mọi Quyền",1,"['enhypen', 'heejake', 'jaywon', 'niki', 'originalcharacter', 'sunghoon', 'sunoo', 'sunsun', 'taehyun', 'yeongyu']",https://img.wattpad.com/cover/308966578-256-k988551.jpg,The Chaos Chapter: Blood_ Sunsun |Hoàn|,15267.0,1912.0,77.0,"['0026', '0023', '0025', '0024', '0027', '0029', '0021', '0028', '0022', '0020']",['Hoàn thành'],
25,"""..Tôi không dễ chết thế đâu."" 
    
    
    
    
    
    
    
    
    
    
    !!MAYBE OOC!!
Bảo Lưu Mọi Quyền",1,"['genshinimpact', 'scaramouche', 'scaramouchexreaded', 'vampire', 'wanderer', 'wandererxreader']",https://img.wattpad.com/cover/356981504-256-k954535.jpg,[Wanderer x Reader] Máu,4611.0,362.0,9.0,"['0121', '0122', '0123', '0124', '0125', '0126', '0127', '0128']",['Đang sáng tác'],
28,"Đây là truyện đã được chuyển ver
    
    Tác giả gốc : Tô Cảnh Nhàn
    Chuyển ngữ : Cát Cánh https://jiegeng1210.wordpress.com
    
    Do là bã thích truyện nì dữ lắm ><
Bảo Lưu Mọi Quyền",1,"['fourthnattawat', 'gemini', 'geminifourth', 'gemininorawit']",https://img.wattpad.com/cover/358040246-256-k251842.jpg,[GeminiFourth] Cắn lên đầu ngón tay anh,12580.0,1236.0,70.0,"['0023', '0027', '0029', '0026', '0020', '0028', '0022']",['Đang sáng tác'],
32,"Chỉ đơn giản là allReo
Bảo Lưu Mọi Quyền",1,['allreo'],https://img.wattpad.com/cover/357126482-256-k963444.jpg,|AllReo| Cổ tích của người lớn,11641.0,1055.0,56.0,"['0031', '0032', '0039', '0033', '0036', '0034', '0038', '0035', '0030']",['Đang sáng tác'],
34,"kinh dị,lãng mạn, pháp sư
Bảo Lưu Mọi Quyền",1,['allbin'],https://img.wattpad.com/cover/354344438-256-k495360.jpg,( allbin) xuyên không trở thành pháp sư,29244.0,3650.0,124.0,"['0034', '0031', '0032', '0039', '0036', '0035', '0037', '0038', '0030']",['Đang sáng tác'],
35,"Tác giả:Kháp Đáo Hảo Xử
    Thể loại:Đam Mỹ
    Editor: Lầu trên có 
    XBBeta: Cá
    ---------------
    Thể loại: Học đường, Đam mỹ, ABO, đáng yêu, ngốc bạch ngọt, 1vs1, HE, song khiết.
    
    Văn án:
    
    Choi Wooje vì không muốn bị người khác phát hiện ra thân phận không phải là con người của mình, nên đã luôn chăm chỉ, cần cù đóng vai một Omega tàn tật không có tuyến thể.
    
    Omega khác cảm động khóc, cậu cũng giả khóc
    
    Omega khác bị say nắng khi học lớp giáo dục thể chất, cậu cũng giả say nắng
    
    Omega khác phát tình, cậu cũng làm bộ động dục
    
    Giả bộ một chút có gì không đúng nhỉ? Vậy gáy của cậu đang bị cái gì?! Tại sao cơ thể ngày càng nóng ?!
    
    Giáo thảo Moon Hyeonjoon là một soái ca chân dài có gia thế tốt, lại có chứng ghét O, Omega toàn trường không một ai dám đến gần trước mặt hắn, mãi đến khi có một tiểu đáng thương chuyển đến trong lớp hắn.
    
    Hắn đùa mãi thành ghiền, không nhịn được 
    
    ""Sao cậu lại thơm như vậy, cho tôi cắn một cái nhé.""
    
    Choi Wooje : Gay go! Mình bị bại lộ rồi!
Bảo Lưu Mọi Quyền",1,"['choiwooje', 'jeonglee', 'moonhyeonjoon', 'on2eus', 'oner', 'zeus']",https://img.wattpad.com/cover/353970676-256-k9621.jpg,Giả O sẽ bị cắn. |On2eus|,151273.0,12770.0,77.0,['0481'],['Hoàn thành'],
48,"Hán Việt: Giang y sinh tha hoài liễu tử đối đầu đích tể
    
    Tác giả: Hồ Lô Tương
    
    Edit: Mưa (wattpad: Mua1301)
    
    Tình trạng: Hoàn thành (89 chính truyện + 13 ngoại truyện)
    
    Tình trạng edit: đã xong (01/03/2023-10/07/2023)
    
    Thể loại: Nguyên sang, Đam mỹ, Hiện đại , HE , Tình cảm , Ngọt sủng , Sinh con , Cường cường , Hoan hỉ oan gia , Chủ thụ , Nhẹ nhàng , Đô thị tình duyên , Kim bài đề cử 🥇 , 1v1 , Thị giác nam chủ , Chức nghiệp tinh anh. 
    
    Giang Tự x Thẩm Phương Dục 
    
    Luôn luôn lạnh lùng, thỉnh thoảng nổi điên nữ vương thụ x Luôn luôn trẻ trâu diễn sâu, thỉnh thoảng trung khuyển công 
    
    ---
    
    BẢN EDIT CHỈ ĐÚNG KHOẢNG 60%
    BẢN EDIT CHƯA CÓ SỰ ĐỒNG Ý CỦA TÁC GIẢ, VUI LÒNG ĐỪNG MANG ĐI NƠI KHÁC!!!
Bảo Lưu Mọi Quyền",1,"['1v1', 'doithu', 'kimbaidecu', 'mangthai', 'sinhcon', 'ykhoa']",https://img.wattpad.com/cover/335713505-512-k569712.jpg,[ĐM/HOÀN] BÁC SĨ GIANG MANG THAI CON CỦA ĐỐI THỦ MỘT MẤT MỘT CÒN,1626107.0,103005.0,103.0,"['0046', '0048', '0047', '0049', '0043', '0044', '0045', '0040', '0041', '0042']",['Hoàn thành'],
59,"Thể loại : hiện đại tâm linh, kinh dị, ân oán đời trước, bối cảnh miền tây sông nước, lạnh lùng quỷ công cùng dịu dàng thụ.
    
    
    Người ta thường nói đáy sông lạnh lẽo, nhưng tại sao lòng con người cũng lạnh lẽo không kém. 
    
    Cô là oan hồn chết tức tưởi quay về báo thù.
    
    Nàng lại là con gái của kẻ nhẫn tâm giết cô.
    
    Đây là trò đùa oái oăm của ông trời, trốn cũng không được mà chạy cũng không xong.
Bảo Lưu Mọi Quyền",1,['bh'],https://img.wattpad.com/cover/280441203-256-k627440.jpg,BH Thuần Việt _ TÂM LẠNH,61495.0,6493.0,39.0,"['0053', '0059', '0051', '0052', '0057', '0050', '0054', '0055', '0056', '0058']",['Hoàn thành'],
60,"Tác giả: Nguyệt Quang Vật Ngữ
      
     Thể loại: đam mỹ, võng du, 1vs1, cường cường, oan gia, HE..
      
     Nhân vật chính: An Chấn Vũ (Bắc Hoàng Minh) x Hàn Phi Tường (Tri Hỏa Ám Diễm)
      
    Tiến độ bản gốc: hoàn thành (3 quyển + ngoại truyện)
      
    Edit : https://leotaozi.wordpress.com/muc-luc-am-vo-da-online/
Bảo Lưu Mọi Quyền",1,"['1x1', 'dammei', 'edit', 'hoan', 'vongdu']",https://img.wattpad.com/cover/20918541-256-k486551.jpg,[ Đam Mỹ ] Ám Vô Dạ Online - Nguyệt Quang Vật Ngữ,114565.0,2296.0,5.0,"['0394', '0452', '0397', '0398', '0330', '0451', '0453', '0454', '0455', '0340']",['Hoàn thành'],991.0
67,"Tác giả:Khủng Long Ăn Cỏ
    Thể loại: Ngôn Tình, Trọng Sinh, Cung Đấu, Cổ Đại
    Nguồn: Cung Quảng Hằng
    Trạng thái: Full
    Nhân vật chính: Liễu Thanh Đường, Tần Thúc 
    
    Một vị hoàng hậu vừa được tiến cung đã phải sống thủ tiết với chức thái hậu, sau khi chấp chưởng triều chính mười mấy năm, bị vị tiểu hoàng đế lúc này đã đủ long đủ cánh hạ lệnh ban chết. Khi đó, chỉ có thái giám tổng quản của nàng vì con đường sống cuối cùng của nàng mà khẳng khái chịu chết. Cũng chính vào lúc đó, thì Thái Hậu nương nương lần đầu tiên biết được tình ý hèn mọn của người nam nhân mà ngay cả là người cũng đều không thể tính được đó cho dù đến chết vẫn không dám nói thành lời.
    
    Trọng sinh trở về, Thái Hậu nương nương quyết định sẽ đối xử tốt với hắn một ít, nhưng rồi nàng dần nhận ra, hai trái tim của hai người cùng hòa chung nhịp đập nên nàng quyết định theo đuổi cảm giác thật của lòng mình.
    Đây là câu chuyện kể về vị thái hậu trẻ tuổi toàn tài cùng với trung khuyển thái giám âm lãnh biến thái cố chấp thầm mến chủ tử đi từng bước một đi lên địa vị cao.
Bảo Lưu Mọi Quyền",1,"['cungdau', 'cung', 'co', 'edit', 'full', 'giam', 'hoan', 'he', 'sinh', 'thai', 'trang', 'trong', 'trongsinh', 'dai', 'dau']",https://img.wattpad.com/cover/149222153-256-k976605.jpg,[Edit Hoàn] LỜI TUYÊN NGÔN CỦA TRUNG KHUYỂN HOẠN QUAN,75452.0,3029.0,65.0,"['0450', '0449', '0973', '2992', '0441', '2993', '2994', '2995', '2996', '2997']",['Hoàn thành'],1249.0
